doc_id	slovenian	english
Gos018	Osnovnošolska ura predmeta družba, ponovitev naravnih značilnosti domače pokrajine, spoznavanje vrst naselij, bivališč, izpolnjevanje delovnih listov na temo značilnosti domačih naselij.
Gos034	Pogovor o predstavitvi dela teatra v letu 2009.
Gos042	Pogovor o prenehanju financiranja družbeno koristnega dela kot nadomestila za zaporno kazen.
Gos051	Učna ura slovenščine v gimnaziji. Obravnavali so književnost, poezijo. Med uro so obnavljali, kar so se naučili v preteklih urah.
Gos052	Drugi letnik gimnazije
Gos072	Predvolilno soočenje predsednikov strank.
Gos073	Oddaja z gosti o prodaji večinskega deleža večjega slovenskega trgovskega podjetja.
Gos076	Grafiti na cerkvi.
Gos099	Sodba v prid učitelju.
Gos131	Jutranji program radia.
Gos132	Jutranji program radia.
Gos141	Jutranji program radia.
Gos148	Intervju s popotnikom iz Irana.
Gos149	Intervju z uspešno slovensko smučarko.
Gos150	Intervju z radijskim napovedovalcem.
Gos153	Študentska radijska oddaja.
Gos155	Lokalna radijska oddaja, v kateri poslušalcem izpolnjujejo glasbene želje.
Gos176	Sestanek jezikovnega oddelka v okviru univerze.
Gos184	Pogovor med tremi zaposlenimi v lovski in ribiški trgovini: o delu med prazniki, pošiljanju voščilnic poslovnim partnerjem, inventuri v začetku leta, dolgovih, strankah, krajah itd. Ker so vsi trije govorci zaposleni v družinskem podjetju, je veliko pogovora osebnega in ne povezanega s podjetjem.
Gos192	Pogovor med frizerjem, stranko, ki jo striže, in tretjo (stalno) stranko, ki je prisotna ob striženju.
Gos197	Pogovor v zobozdravniški ordinaciji med pacientko, zobozdravnikom in asistentko.
Gos198	Pogovor med stranko in prodajalcem v zlatarni.
Gos202	Pogovor med stranko in uslužbenko ponudnika telekomunikacijskih storitev.
Gos211	Telefonski pogovor med stranko in informatorjem v klicnem centru podjetja, ki trži telekomunikacijske storitve.
Gos212	Telefonski pogovor med stranko in informatorjem v klicnem centru podjetja, ki trži telekomunikacijske storitve.
Gos218	Pogovor med babico, vnukinjo in pravnukinjo ob preživljanju prostega dopoldneva. Teme so barvanje slikanice, različni pripetljaji, računanje ...
Gos222	Pogovor med dvema prijateljicama o stanodajalcih in drugih dogodkih.
Gos230	Hči pripoveduje materi o filmu, ki ga je gledala, dogodkih, ki so se zgodili čez vikend...
Gos236	Družinsko srečanje, praznovanje uspešno opravljenega strokovnega izpita članice družine. Teme so prihajajoč dopust, anekdote s potovanja dveh članov družine, zgodbe, ki so se pripetile prijateljem, ter o potovanjih in izkušnjah s turističnimi agencijami nasploh.
Gos243	Pogovor treh članov alternativne glasbene skupine po vaji, teme se večinoma vrtijo okoli glasbe, dogajanja med vikendom in načrtov za prihodnje dni.
Gos247	Mati in hči se ob kavi pogovarjata o gradnji hiše, službi, sanjah itd.
Gos248	Babica in vnukinja se pogovarjata o prostovoljnem delu pri evropskem projektu, nogometu itd.
Gos249	Oče pripoveduje svoji hčerki spomine iz šole ipd.
Gos261	Pogovor v kavarni med tujko in domačinko, ki se prvič srečata ob tem pogovoru, o vtisih in življenju tujke.
Gos265	Pogovor dveh prijateljev o zanju aktualnih temah (novem psu, načrtovanju izleta, razmerah v pevskem zboru, njunih skupnih znancih itd.).
Gos271	Telefonski pogovor s prijateljico, predvsem z namenom dogovoriti se, kdaj in kje se bosta srečali.
Gos273	Telefonski pogovor med prijateljicama o različnih stvareh, največ o potovanju, s katerega se je ena pred kratkim vrnila.
Gos274	Pogovor med bratom in sestro o tem, kar se je dogajalo tisti dan.
Gos287	Pogovor med parom o aktualnih stvareh in planiranju počitnic.
